probe	geneid
2994108	3204
3179956	23196
3179960	23196
3449556	100506660
3356417	283171
3977802	401589
4008555	401589
4044803	284630
4044810	284630
4044812	284630
4044816	284630
2674560	100132677
3402670	100127974
2389918	400812
3911054	100291105
2768450	57606
2568437	100506421
2593960	101927619
3542662	100506411
3643092	100132363
3748116	83450
3748119	83450
2892447	389362
2892579	643327
3940497	157
3940629	157
2357079	105371226
2433563	105371226
2411847	79656
2639869	8997
3366254	283112
3773585	100131170
3382969	51773
3865896	400706
3124032	728868
4055477	538
3565644	93487
3565647	93487
3044152	401320
3954472	8940
3644289	124056
3644291	124056
3147631	286154
2473132	50618
3762103	284080
3046632	445347
3046635	445347
3046637	445347
3046639	445347
3046641	445347
3046643	445347
3046645	445347
